title,authors,categories,average_rating,ratings_count
Poirot,Agatha Christie,Authors,4.2,83.0
The Art of The Lord of the Rings,Gary Russell,Costume,4.52,12.0
The Known World,Edward P. Jones,African American plantation owners,3.83,437.0
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,3.9,1956.0
Naked Lunch,William S. Burroughs,Alienation (Social psychology),3.44,478.0
Tropic of Cancer,Henry Miller,Fiction,3.69,709.0
Close Range,Annie Proulx,Cowboys,3.99,466.0
The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,3.65,6836.0
The Song of Rhiannon,Evangeline Walton,Fiction,4.02,247.0
Heart Songs and Other Stories,Annie Proulx,Fiction,3.93,1822.0
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,4.09,2869.0
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,4.26,1446.0
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,4.26,106.0
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,4.22,313.0
Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,3.64,430.0
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,4.2,204.0
The Presocratics,Philip Wheelwright,Philosophy,4.04,199.0
Spandau,Albert Speer,History,4.12,6.0
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",4.17,24.0
The Journey with Grandmother,Edith Unnerstad,Grandmothers,3.75,3.0
Tyranny of the Majority,Lani Guinier,History,3.82,39.0
The Origins of the Civil Rights Movement,Aldon D. Morris,History,4.04,145.0
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,3.79,277.0
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,4.01,88.0
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,4.37,95.0
Poppy's Return,Avi,Juvenile Fiction,3.99,1086.0
Diary of a Spider,Doreen Cronin,Juvenile Fiction,4.25,7903.0
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,3.7,599.0
The Paradox of Choice,Barry Schwartz,Business & Economics,3.84,23734.0
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,3.65,14917.0
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,4.05,27463.0
The Wee Free Men,Terry Pratchett,Juvenile Fiction,4.27,72982.0
Going Postal,Terry Pratchett,Fiction,4.38,924.0
Modern Mind,Peter Watson,Science,4.27,570.0
She Went All the Way,Meg Cabot,Fiction,3.69,12297.0
Island,Aldous Huxley,Fiction,3.85,17583.0
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,4.09,2229.0
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,3.76,42096.0
The Terminal Man,Michael Crichton,Fiction,3.36,20825.0
The Art of the Novel,Milan Kundera,Literary Criticism,3.96,3544.0
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,4.06,5681.0
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,4.29,2452.0
Identity,Milan Kundera,Fiction,3.68,260.0
The thief of always,Clive Barker,Fiction,4.19,22123.0
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,3.85,236.0
Mars and Venus Book of Days,John Gray,Family & Relationships,3.54,18.0
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,4.25,9963.0
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,4.15,4030.0
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,4.33,10010.0
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,4.15,5191.0
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,4.28,142.0
Laura's Album,William Anderson,Juvenile Nonfiction,4.3,713.0
Quivers,Robin Quivers,African Americans in radio broadcasting,3.51,60.0
Moonspinners,Mary Stewart,Fiction,4.03,5868.0
Small Wonder,Barbara Kingsolver,Literary Collections,4.01,8738.0
Worlds Enough & Time,Dan Simmons,Fiction,3.75,923.0
The Cheese Monkeys,Chip Kidd,Fiction,3.75,4570.0
Travels,Michael Crichton,Biography & Autobiography,3.95,6812.0
