title,authors,categories,average_rating,ratings_count
Typhoon and Other Tales,Joseph Conrad,Fiction,3.89,565.0
Hegel: A Very Short Introduction,Peter Singer,Philosophy,3.85,1048.0
Persuasion,Jane Austen,Fiction,4.13,421344.0
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,History,3.62,178.0
The Major Works,John Milton,Literary Criticism,4.22,275.0
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,Fiction,3.56,253.0
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,4.12,141.0
Candide and Other Stories,Voltaire,Fiction,3.94,3336.0
The Picture of Dorian Gray,Oscar Wilde,Fiction,4.07,1079.0
Confessions,Jean-Jacques Rousseau,Literary Criticism,3.62,4755.0
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,Fiction,3.99,763.0
Four Gothic Novels,Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley,Gothic Fiction,3.95,143.0
The First Philosophers,Robin Waterfield,Philosophy,3.93,303.0
The Antiquary,Sir Walter Scott,Fiction,3.85,339.0
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,Fiction,3.73,777.0
Orestes and Other Plays,Euripides;James Morwood,Literary Criticism,4.07,146.0
Jane Austen's Letters,Jane Austen,Fiction,4.15,2211.0
Agricola and Germany,Tacitus,Literary Collections,3.98,25.0
Miss Or Mrs?,Wilkie Collins,Fiction,3.79,170.0
Great Expectations,Charles Dickens,Fiction,3.76,523790.0
Complete Shorter Fiction,Oscar Wilde,Fiction,4.16,1167.0
War and Peace,Leo Tolstoy;graf Leo Tolstoy,Fiction,4.11,201919.0
The Castle of Otranto,Horace Walpole,Fiction,3.18,15390.0
The Bostonians,Henry James,Fiction,3.59,84.0
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,Poetry,4.07,173.0
Hans Andersen's Fairy Tales,Hans Christian Andersen,Juvenile Fiction,3.9,17.0
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,Fiction,4.32,232.0
Daisy Miller and Other Stories,Henry James,Fiction,3.51,537.0
Selected Philosophical Writings,Saint Thomas (Aquinas),Religion,3.86,234.0
The Ladies' Paradise,Émile Zola,Fiction,3.99,5279.0
A Sentimental Education,Gustave Flaubert,Fiction,3.83,104.0
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,3.99,14702.0
First Love and Other Stories,Ivan Sergeevich Turgenev,Fiction,4.12,1113.0
The Confidence-man,Herman Melville,Literary Criticism,3.66,1812.0
The Eclogues ; The Georgics,Virgil,Agriculture,3.82,237.0
Scenes of Clerical Life,George Eliot,Fiction,3.78,2276.0
Jacques the Fatalist and His Master,Denis Diderot,Fiction,3.84,4708.0
The Notebooks of Leonardo Da Vinci,Leonardo Da Vinci;Leonardo (da Vinci),Art,3.92,67.0
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie,Drama,3.99,332.0
La chartreuse de Parme,Jm Stendhal,Fiction,3.82,51.0
"Evelina, Or, The History of a Young Lady's Entrance Into the World",Fanny Burney,Fiction,3.66,11701.0
Aesop's Fables,Laura Gibbs,Fiction,4.05,95008.0
A Memoir of Jane Austen,James Edward Austen-Leigh,Biography & Autobiography,3.83,880.0
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,Philosophy,3.56,181.0
Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,3.74,219.0
The Origins of Life,John Maynard Smith;Eörs Szathmáry,Science,4.11,41.0
Augustine,Henry Chadwick,History,3.74,12.0
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,3.92,131.0
Growing Old in America,David Hackett Fischer,Religion,4.2,15.0
Alcestis,Euripides,Medical,3.83,1824.0
Albion's Seed,David Hackett Fischer,Fiction,4.31,2163.0
Inferno,Dante Alighieri,Literary Criticism,4.0,449.0
Paul Revere's Ride,David Hackett Fischer,Art,4.11,3651.0
Justice Oliver Wendell Holmes,G. Edward White,Literary Criticism,3.67,17.0
Notebooks of the Mind,Vera John-Steiner,Psychology,3.81,17.0
Masters of Small Worlds,Stephanie McCurry,History,3.71,96.0
Ride of the Second Horseman,Robert L. O'Connell,History,4.23,12.0
The Great Wave,David Hackett Fischer,Business & Economics,3.96,194.0
Bakkhai,Euripides;Reginald Gibbons;Charles Segal,Drama,3.86,146.0
Manic-Depressive Illness,Frederick K. Goodwin;Kay Redfield Jamison,Medical,4.39,103.0
El Libertador,Simón Bolívar,Literary Collections,3.85,7.0
Medea,Eurípides;Michael Collier;Georgia Machemer,Drama,3.85,339.0
Philosophy of Mind,David John Chalmers,Philosophy,4.07,414.0
Norse Mythology,John Lindow,Fiction,4.1,1062.0
Battle Cry of Freedom,James M. McPherson,History,4.34,22318.0
Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,Philosophy,3.76,12.0
Strategies of Containment,John Lewis Gaddis,History,4.01,523.0
The Faiths of the Founding Fathers,David L. Holmes,Biography & Autobiography,3.86,450.0
Acts of God,Ted Steinberg,History,3.74,99.0
The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,Mathematics,4.25,19.0
Aristophanes' Peace,Aristophanes;S. Douglas Olson,Drama,3.58,243.0
Lysistrata,Aristophanes;Jeffrey Henderson,Literary Criticism,3.85,76.0
Julius Caesar,William Shakespeare,Juvenile Nonfiction,3.67,133575.0
King Lear,William Shakespeare,Juvenile Nonfiction,3.9,268.0
Macbeth,William Shakespeare,Juvenile Nonfiction,3.89,150.0
Much Ado about Nothing,William Shakespeare,Juvenile Nonfiction,4.06,37.0
The Oxford Dictionary of Quotations,Oxford University Press;TME.,Reference,4.17,37.0
"Medieval Philosophy : A New History of Western Philosophy, Volume 2",Anthony Kenny,Philosophy,3.85,128.0
Contemporary Political Philosophy,Will Kymlicka,Philosophy,3.98,575.0
Clouds,Aristophanes,Drama,3.76,13.0
"Power, Sex, Suicide",Nick Lane,Science,4.24,2110.0
The Oxford Companion to Philosophy,Ted Honderich,Philosophy,4.14,49.0
The Church in Ancient Society,Henry Chadwick,Religion,4.21,14.0
William Shakespeare: The Complete Works,William Shakespeare,Drama,4.62,488.0
East and West: The Making of a Rift in the Church,Henry Chadwick,Religion,3.88,4.0
An Introduction to Political Philosophy,Jonathan Wolff,Philosophy,4.11,703.0
"Thermodynamics, Kinetic Theory, and Statistical Thermodynamics",Francis Weston Sears;Gerhard Ludwig Salinger,Kinetic theory of gases,4.32,38.0
Six Easy Pieces,Richard P. Feynman,Science,4.2,160.0
Robin Williams Web Design Workshop,John Tollett;Robin Williams;David Rohr,Computers,3.78,51.0
The Actor in You,Robert L. Benedetti,Performing Arts,3.7,5.0
It's Not about the Bike,Lance Armstrong;Sally Jenkins,Cancer,3.72,473.0
Non-Fiction,Chuck Palahniuk,Curiosities and wonders,3.57,212.0
Every Second Counts,Lance Armstrong;Sally Jenkins,Cancer,3.52,270.0
Quimby the Mouse,Chris Ware,Graphic novels,4.09,1396.0
The Crescent Obscured,Robert Allison,History,3.6,32.0
The Bridge on the Drina,Ivo Andríc,Fiction,4.33,8401.0
Love and Saint Augustine,Hannah Arendt;Joanna Vecchiarelli Scott;Judith Chelius Stark,Family & Relationships,3.92,89.0
Plato's Symposium,Plato;Seth Benardete,Philosophy,4.03,501.0
Philosophy in a Time of Terror,Jürgen Habermas;Giovanna Borradori;Jacques Derrida,History,3.89,428.0
"A Preface to Democratic Theory, Expanded Edition",Robert A. Dahl,Political Science,3.62,88.0
Lost Prophet,John D'Emilio,Biography & Autobiography,4.19,568.0
The Work of Mourning,Jacques Derrida,Literary Criticism,4.22,163.0
"History of Religious Ideas, Volume 3",Mircea Eliade,Religion,4.43,406.0
Bengal Nights,Mircea Eliade,Fiction,3.93,245.0
The Complete Tales of Nikolai Gogol,Nikolai Gogol;Николай Васильевич Гоголь,Fiction,4.32,299.0
"Love, Sex & Tragedy",Simon Goldhill,History,3.76,120.0
Complete Greek Tragedies,David Grene;Richmond Lattimore,Classic,4.11,75.0
Greek tragedies,Sophocles;Aeschylus;Euripides,Drama,4.14,33.0
The Complete Greek Tragedies: Euripides,Aeschylus;Sophocles;Euripides,Drama,4.48,46.0
Greek Tragedies,David Grene;Richmond Lattimore,Literary Criticism,4.28,315.0
Oresteia,Esquilo;Aeschylus,Erinyes (Greek mythology),4.01,688.0
Euripides I,Euripides,Greek drama (Tragedy),4.03,4482.0
The Complete Greek Tragedies,David Grene;Richmond Lattimore,Classic,4.14,4952.0
Aeschylus: The suppliant maidens,Aeschylus;David Grene,Drama,4.1,382.0
"Billy Budd, Sailor",Herman Melville,Fiction,3.11,219.0
Gilgamesh Epic and Old Testament Parallels,Alexander Heidel,Religion,3.97,57.0
Works of Hesiod and the Homeric Hymns,Hesiod,Poetry,3.72,32.0
"The Progressive Historians--Turner, Beard, Parrington",Richard Hofstadter,History,3.86,34.0
The Collaborator,Alice Kaplan,History,3.84,67.0
Heat Wave,Eric Klinenberg,History,3.84,674.0
Moral Politics,George Lakoff,Language Arts & Disciplines,4.03,1215.0
A River Runs Through It,Norman Maclean,Biography & Autobiography,4.17,5885.0
Young Men and Fire,Norman Maclean,Biography & Autobiography,4.07,4148.0
"Antitrust Law, Second Edition",Richard A. Posner,Law,4.0,33.0
A Dance to the Music of Time,Anthony Powell,Fiction,3.95,3680.0
Mystical Poems of Rumi Translated,Jalāl al-Dīn Rūmī (Maulana);A. J. Arberry,Poetry,4.32,112.0
The Family Idiot,Jean-Paul Sartre,Biography & Autobiography,3.8,5.0
History of Political Philosophy,Leo Strauss;Joseph Cropsey,Philosophy,4.18,424.0
From Counterculture to Cyberculture,Fred Turner,Social Science,3.96,323.0
Genetics and the Origin of Species,Theodosius Dobzhansky,Science,4.15,24.0
The Pillow Book of Sei Sh?nagon,Sei Shōnagon,Literary Collections,4.02,3577.0
Three Plays by Kobo Abe,Kōbō Abe,Fiction,3.91,76.0
Discovering Plato,Alexandre Koyre,Philosophy,3.26,7.0
"The Columbia Reader on Lesbians and Gay Men in Media, Society, and Politics",Larry P. Gross;James D. Woods,Social Science,3.93,15.0
Poems Between Women,Emma Donoghue,Poetry,3.86,66.0
Antigone's Claim,Judith Butler,Philosophy,3.76,406.0
The Vital Illusion,Jean Baudrillard;Julia Witwer,Literary Criticism,3.84,110.0
An Arab-Syrian Gentleman and Warrior in the Period of the Crusades,Usāmah ibn Munqidh;Philip Khuri Hitti,History,3.92,66.0
William Faulkner,Nicolas Tredell,Literary Criticism,3.96,4.0
"Nathaniel Hawthorne, The Scarlet Letter",Nathaniel Hawthorne,Literary Criticism,3.39,173.0
The Poetry of Sylvia Plath,Claire Brennan,Literary Criticism,4.23,25.0
The Intellectuals and the Flag,Todd Gitlin;Professor of Culture Journalism and Sociology Todd Gitlin,Political Science,3.59,2.0
More Than You Know,Michael J. Mauboussin,Business & Economics,4.08,1238.0
Nietzsche and Philosophy,Gilles Deleuze,Philosophy,4.16,48.0
Remembering JFK,Jacques Lowe;Hugh Sidey,Presidents,4.34,9.0
Oliver Twist,Pauline Francis;Charles Dickens,Juvenile Nonfiction,3.66,92.0
"20,000 Leagues Under the Sea",Jules Verne;Pauline Francis,Children's stories,3.76,543.0
Avid Editing,Sam Kauffmann,Performing Arts,3.83,5.0
Directing the Documentary,Michael Rabiger,Performing Arts,4.23,173.0
The Very Hungry Caterpillar,Eric Carle,Babytime resource,4.29,340101.0
The Best of McSweeney's,Dave Eggers,"Short stories, American",3.81,68.0
Stuart Little,Elwyn Brooks White,"Little, Stuart (Fictitious character)",3.89,109.0
The Dark Descent,David G. Hartwell,"Horror tales, English",4.11,2.0
Zora Neale Hurston,Robert E. Hemenway,Biography & Autobiography,4.11,100.0
Chicago Stories,James Thomas Farrell;Professor James T Farrell,Fiction,3.89,38.0
Dante's Vita Nuova,Alighieri Dante;Dante Alighieri,Literary Criticism,3.87,59.0
A Theory of Semiotics,Umberto Eco,Literary Criticism,4.01,991.0
The Role of the Reader,Umberto Eco,Literary Criticism,3.94,220.0
The Basic Problems of Phenomenology,Martin Heidegger,Philosophy,4.28,437.0
Hegel's Phenomenology of Spirit,Martin Heidegger,Philosophy,4.19,114.0
Dante's Inferno,Dante (Alighieri);Dante Alighieri,Poetry,4.0,44.0
Introduction to Documentary,Bill Nichols,Performing Arts,3.77,194.0
The Treason of Isengard,John Ronald Reuel Tolkien;Christopher Tolkien,English fiction,4.16,93.0
The Lost Road,John Ronald Reuel Tolkien;Christopher Tolkien,Fantasy,3.96,88.0
The Lays of Beleriand,John Ronald Reuel Tolkien;Christopher Tolkien,Poetry,3.96,93.0
The Monsters and the Critics,John Ronald Reuel Tolkien,Beowulf,3.93,3375.0
"The Hobbit, Or, There and Back Again",John Ronald Reuel Tolkien;Alan Lee,"Baggins, Bilbo (Fictitious character)",4.26,535.0
The Parallax View,Slavoj Žižek,Philosophy,4.01,984.0
Structure and Interpretation of Computer Programs,Harold Abelson;Gerald Jay Sussman;Julie Sussman,Computers,4.45,3491.0
The Man Who Tasted Shapes,Richard E. Cytowic,Medical,3.88,732.0
Elbow Room,Daniel Clement Dennett,Philosophy,3.92,474.0
Theory of Colours,Johann Wolfgang von Goethe;Donald Eastlake,Art,4.07,669.0
An Odyssey in Learning and Perception,Eleanor J. Gibson,Psychology,4.5,0.0
Pop Internationalism,Paul R. Krugman,Business & Economics,3.67,307.0
"Development, Geography, and Economic Theory",Paul R. Krugman,Business & Economics,3.99,74.0
Inattentional Blindness,Arien Mack;Irvin Rock,Psychology,4.2,10.0
The Language of New Media,Lev Manovich;Roger F. Malina;Sean Cubitt,Art,3.85,798.0
"Turtles, Termites, and Traffic Jams",Mitchel Resnick,Computers,3.85,126.0
Looking Awry,Slavoj Žižek,Performing Arts,4.05,1276.0
The Puppet and the Dwarf,Slavoj Žižek;Žižek;Stockholm Inst Of Transition Staff;Mladen Dolar;Alenka Zupancic,Philosophy,3.83,617.0
Treatise on Happiness,Saint Thomas (Aquinas);Thomas Aquinas,Philosophy,3.84,73.0
Marketing and the Bottom Line,Tim Ambler,Business & Economics,3.82,17.0
"Traders, Guns & Money",Satyajit Das,Business & Economics,3.83,1398.0
The Heights of Courage,Avigdor Kahalani,History,4.18,97.0
C. S. Lewis,Bruce L. Edwards,Literary Criticism,4.43,6.0
The Lost World of Agharti,Alec Maclellan,"Body, Mind & Spirit",3.79,23.0
Zero,Charles Seife,Zero (The number),3.96,116.0
Zen Buddhism & Psychoanalysis,Daisetz Teitaro Suzuki;Erich Fromm;Richard De Martino,Psychoanalysis and religion,3.94,517.0
The Wanderer,Knut Hamsun;Gunnvor Stallybrass,English fiction,3.96,672.0
Memoirs,Pablo Neruda,"Poets, Chilean",4.21,1205.0
Paso Del Norte,Juan Rulfo,Fiction,4.19,321.0
100 Love Sonnets,Pablo Neruda,Poetry,4.4,12284.0
Long Day's Journey,Carlos A. Schwantes,History,4.0,4.0
Philip Vera Cruz,Craig Scharlin;Lilia V Villanueva,Biography & Autobiography,3.87,45.0
Mark Twain's Own Autobiography,Mark Twain,"Authors, American",3.83,9.0
Letters to J. D. Salinger,Chris Kubica;Will Hochman,Biography & Autobiography,3.54,24.0
The Poems of Alexander Pope,Alexander Pope,Poetry,3.95,158.0
Psychoanalysis and Religion,Erich Fromm,Psychology,4.04,822.0
"Euthyphro, Apology, Crito, Meno, Gorgias, Menexenus",Plato,Philosophy,4.14,112.0
The Shaping of America: A Geographical Perspective on 500 Years of History,D. W. Meinig,History,4.15,25.0
Seeing Like a State,James C. Scott,Political Science,4.19,2316.0
Leonardo on Painting,Leonardo,Art,4.13,115.0
Dreaming in Pictures,Douglas Robert Nickel;Lewis Carroll;San Francisco Museum of Modern Art,Photography,4.01,105.0
Art and Beauty in the Middle Ages,Umberto Eco,Art,3.98,947.0
Long Day's Journey Into Night,Eugene O'Neill,Drama,4.07,31450.0
Marcel Proust,William C. Carter,Biography & Autobiography,4.32,13.0
How Democratic is the American Constitution?,Robert A. Dahl,History,3.64,436.0
The Voices of Morebath,Eamon Duffy,History,3.7,344.0
Cosmos,Witold Gombrowicz;Danuta Borchardt,Fiction,4.03,1801.0
Cuba,Richard Gott,History,4.06,275.0
Eva Hesse Drawing,"Menil collection (Houston, Tex.).;Eva Hesse;Drawing center (New York).;Drawing Center (New York, N.Y.);Walker Art Center (Minneapolis, Minn.).;Museum of Contemporary Art (Los Angeles, Calif.)",Art,4.54,52.0
The Annotated Waste Land with Eliot's Contemporary Prose,Thomas Stearns Eliot;Lawrence S. Rainey,Literary Criticism,4.11,218.0
The Collapse of the Third Republic,William Lawrence Shirer,History,4.2,497.0
The Complete Short Stories Of Robert Louis Stevenson,Charles Neider;Robert Louis Stevenson,Literary Collections,4.19,51.0
Hemingway,Jeffrey Meyers,Literary Collections,4.03,190.0
Unsung Heroes of Rock 'n' Roll,Nick Tosches,Biography & Autobiography,4.1,327.0
The Dark Side Of Genius,Donald Spoto,Performing Arts,3.83,950.0
Johnny Cash,Michael Streissguth,Biography & Autobiography,3.79,277.0
23 Days in July,John Wilcockson,Sports & Recreation,3.67,354.0
75 Years of Little Golden Books: 1942-2017,Margaret Wise Brown;Ruth Krauss;Richard Scarry;Dennis R. Shealy;Kathryn Jackson;Byron Jackson;Janette Sebring Lowrey;Gertrude Crampton;Jane Werner Watson,Animals,4.23,1047.0
The Deeper Meaning of Liff,Douglas Adams;John Lloyd,Humor,3.93,3924.0
The Last Boleyn,Karen Harper,Fiction,4.05,8848.0
Giada's Family Dinners,Giada De Laurentiis,Cooking,3.96,13866.0
The Spy Who Barked,George Edward Stanley,Juvenile Fiction,3.47,24.0
Terrorist,John Updike,Fiction,3.17,3405.0
Beloved,Toni Morrison,Fiction,3.81,617.0
The Name of the Rose,Umberto Eco,Fiction,4.12,1323.0
The Road,Cormac McCarthy,Fiction,3.96,574745.0
The Best of Wodehouse,Pelham Grenville Wodehouse,Fiction,4.4,400.0
Buried Child,Sam Shepard,Drama,3.91,6558.0
The Devil Wears Prada,Lauren Weisberger,Fiction,3.73,723487.0
Death Match,Lincoln Child,Fiction,3.78,8496.0
The Lighthouse,P. D. James,Fiction,3.81,10330.0
If Beale Street Could Talk,James Baldwin,Fiction,4.24,14306.0
A Million Little Pieces,James Frey,Biography & Autobiography,3.63,195863.0
Robert Langdon Novels,Dan Brown,Art museum curators,3.82,1588890.0
The Sunset Limited,Cormac McCarthy,Drama,3.96,6166.0
A Walk in the Woods,Bill Bryson,Sports & Recreation,4.06,291489.0
The Civil War,Shelby Foote,United States,4.53,6406.0
The Alchemist's Daughter,Katharine McMahon,Fiction,3.24,3479.0
Cesar's Way,Cesar Millan;Melissa Jo Peltier,Pets,3.74,6878.0
"Small Bites, Big Nights",Govind Armstrong;Ann Wycoff;Alison Clare Steingold,Cooking,3.6,20.0
Why Do Men Fall Asleep After Sex?,Mark Leyner;Billy Goldberg,Health & Fitness,3.56,1149.0
Everyday Pasta,Giada De Laurentiis,Cooking,4.09,8719.0
Dreams from My Father,Barack Obama,Biography & Autobiography,3.86,1187.0
Gifted Hands,Ben Carson;Cecil B. Murphey,Biography & Autobiography,4.21,11328.0
Trial by Fire,Terri Blackstock,Fiction,4.35,3119.0
"""A"" is for Abductive",Leonard I. Sweet;Brian D. McLaren;Jerry Haselmayer,Religion,3.17,48.0
Breach of Promise,James Scott Bell,Fiction,4.0,358.0
Deadlock,James Scott Bell,Fiction,3.95,314.0
Ever After,Karen Kingsbury,Fiction,4.32,10520.0
Fanning the Flame,Christopher J. H. Wright,Religion,5.0,1.0
The Church on the Other Side,Brian D. McLaren,Religion,3.58,201.0
The Church in Emerging Culture,Andy Crouch,Religion,3.35,188.0
Becoming a Contagious Christian,Mark Mittelberg;Lee Strobel;Bill Hybels,Religion,3.75,8.0
Journey into God's Word,J. Scott Duvall;J. Daniel Hays,Religion,4.16,766.0
Zondervan Handbook to the Bible,David Alexander;Pat Alexander,Religion,4.14,217.0
Velvet Elvis,Rob Bell,Religion,3.78,19646.0
Purpose Driven Life MM Camouflage Edition,"Rick Warren, D.Min.;Zondervan Publishing",Christian life,3.92,20.0
A Search for What Makes Sense,Brian D. McLaren,Religion,3.59,129.0
The Complete Green Letters,Miles J. Stanford,Religion,4.2,279.0
Zondervan NIV Study Bible,Kenneth L. Barker;Donald W. Burdick,Bibles,4.7,4092.0
How to Write a Damn Good Novel,James N. Frey,Language Arts & Disciplines,3.85,2093.0
The Sun in the Morning,Mary Margaret Kaye,Biography & Autobiography,4.21,230.0
The Awakening,Kate Chopin,Adultery,3.64,70.0
James Herriot's Treasury for Children,James Herriot,Juvenile Nonfiction,4.44,9772.0
Modern Classics of Science Fiction,Gardner Dozois,Fiction,4.15,88.0
The Great Ape Project,Paola Cavalieri;Peter Singer,Nature,4.06,86.0
White Man's Grave,Richard Dooling,Fiction,3.93,355.0
Isak Dinesen,Judith Thurman,Biography & Autobiography,4.07,1015.0
Four Weddings and a Funeral,Richard Curtis,Performing Arts,3.76,48.0
With William Burroughs,William S. Burroughs;Victor Bockris,Biography & Autobiography,4.05,325.0
The Everyday I Ching,Sarah Dening,"Body, Mind & Spirit",4.19,23.0
The Far Pavilions,M. M. Kaye,Fiction,4.21,36300.0
From Bondage,Henry Roth,Fiction,4.1,57.0
Mary Queen of Scotland & The Isles,Margaret George,Fiction,4.05,11239.0
The Communist Manifesto: Marx,John Toews,Political Science,3.54,93.0
Through the Dark Labyrinth,Gordon Bowker,Biography & Autobiography,3.83,36.0
I Capture the Castle,Dodie Smith,Fiction,4.0,62290.0
Marilyn Manson,Kurt Reighley,Biography & Autobiography,3.39,112.0
Radio On,Sarah Vowell,Literary Collections,3.42,1468.0
Human Croquet,Kate Atkinson,Fiction,3.71,6602.0
The Autobiography of Henry VIII,Margaret George,Fiction,4.25,23573.0
Bachelor Brothers' Bed & Breakfast Pillow Book,Bill Richardson,Fiction,3.77,315.0
One Thousand White Women,Jim Fergus,Fiction,3.88,97955.0
Requiem for Harlem,Henry Roth,Fiction,4.16,51.0
High Five,Janet Evanovich,Fiction,4.18,660.0
"James Tiptree, Jr.",Julie Phillips,Biography & Autobiography,4.24,929.0
Birds of America,Lorrie Moore,Fiction,4.11,11984.0
And The Band Played on,Randy Shilts,Health & Fitness,4.39,18518.0
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch,History,4.25,23498.0
Death in the Andamans,M. M. Kaye,Fiction,3.93,813.0
Death in Berlin,M. M. Kaye,Fiction,3.89,839.0
Death in Kashmir,M. M. Kaye,Fiction,3.95,1435.0
Four Mothers,Shifra Horn;Dalya Bilu,Fiction,3.69,198.0
Timbuktu,Paul Auster,Fiction,3.68,9200.0
The Italian Girl,Patricia Hall,Fiction,3.4,33.0
The Naked and the Dead,Norman Mailer,Fiction,3.94,20541.0
Enchanted Evening,M. M. Kaye,Biography & Autobiography,4.38,97.0
The Illustrated Story Of O,Pauline Reage,Photography,4.0,25.0
Catfish and Mandala,Andrew X. Pham,Biography & Autobiography,3.96,4541.0
The Satanic Verses,Salman Rushdie,Fiction,3.71,41709.0
Absent in the Spring and Other Novels,Mary Westmacott;Agatha Christie,Fiction,4.19,88.0
Round Ireland with a Fridge,Tony Hawks,Travel,3.79,14661.0
An Unfortunate Woman,Richard Brautigan,Fiction,3.78,1312.0
The Glass Bead Game,Hermann Hesse,Fiction,4.11,24035.0
Emotionally Weird,Kate Atkinson,Fiction,3.45,5066.0
A Writer's Workbook,Caroline Sharp;Elizabeth Gilbert,Language Arts & Disciplines,3.71,148.0
Waiting for My Cats to Die,Stacy Horn,Biography & Autobiography,3.67,173.0
Serious Girls,Maxine Swann,Fiction,3.19,202.0
Lords of the White Castle,Elizabeth Chadwick,Fiction,4.21,1485.0
The Christmas Shoes,Donna VanLiere,Fiction,4.23,31800.0
Education As My Agenda,Gertrude S. Williams;Jo Ann Robinson,Biography & Autobiography,4.25,4.0
Banvard's Folly,Paul Collins,History,3.97,498.0
The Last Jew,Noah Gordon,Fiction,4.08,4119.0
How to Write a Damn Good Mystery,James N. Frey,Language Arts & Disciplines,3.97,305.0
Jenny and the Jaws of Life,Jincy Willett,Fiction,3.74,1285.0
Plum Lovin',Janet Evanovich,Fiction,3.72,46237.0
McCarthy's Bar,Pete McCarthy,Travel,3.79,8589.0
The Pythons,Graham Chapman;John Cleese;Terry Gilliam;Michael Palin;Eric Idle;Terry Jones,Biography & Autobiography,4.08,73.0
The Little Princesses,Marion Crawford,Biography & Autobiography,4.0,378.0
The New York Times Guide to Essential Knowledge,The New York Times,Reference,4.09,150.0
Little Children,Tom Perrotta,Fiction,3.62,25811.0
The Gatekeeper,Terry Eagleton,Biography & Autobiography,3.8,94.0
Dominion,Matthew Scully,Nature,4.16,1131.0
SPQR VI: Nobody Loves a Centurion,John Maddox Roberts,Fiction,4.13,626.0
Something Borrowed,Emily Giffin,Fiction,3.84,439930.0
P.S. Your Cat Is Dead,James Kirkwood,Fiction,3.75,1291.0
Something Blue,Emily Giffin,Fiction,3.93,186552.0
All Things Bright and Beautiful,James Herriot,Biography & Autobiography,4.31,60280.0
Inside the Mind of Gideon Rayburn,Sarah Miller,Juvenile Fiction,3.39,1066.0
Spider Mountain,P. T. Deutermann,Fiction,3.91,447.0
Where the Mountain Casts Its Shadow,Maria Coffey,Biography & Autobiography,3.89,366.0
Sideways,Rex Pickett,Fiction,3.69,4365.0
Baby Proof,Emily Giffin,Fiction,3.71,136644.0
Lean Mean Thirteen,Janet Evanovich,Fiction,4.09,78572.0
The Last Wife of Henry VIII,Carolly Erickson,Fiction,3.88,10519.0
The Forsaken,L. A. Banks,Fiction,4.35,1860.0
A Woman of Substance,Barbara Taylor Bradford,Fiction,4.17,33783.0
The Red Tent,Anita Diamant,Fiction,4.17,453899.0
Dirty Little Secrets,Joy King,Fiction,4.16,302.0
Think Like a Guy,Giuliana Depandi,Family & Relationships,3.15,115.0
The Ravenscar Dynasty,Barbara Taylor Bradford,Fiction,3.61,1241.0
The Devil in the Junior League,Linda Francis Lee,Fiction,3.62,3790.0
The Silver Pigs,Lindsey Davis,Fiction,3.94,8592.0
The Mystery Method,Mystery;Chris Odom,Family & Relationships,3.71,2059.0
Marked,P. C. Cast;Kristin Cast,Juvenile Fiction,3.8,388266.0
Let's Go Australia 9th Edition,Let's Go Inc,Travel,3.92,8.0
"The Paris Review Interviews, I",The Paris Review,Biography & Autobiography,4.38,838.0
More Plums in One,Janet Evanovich,Fiction,4.44,209.0
James Herriot's Dog Stories,James Herriot,Pets,4.4,5558.0
Beatrix Potter,Linda Lear,Biography & Autobiography,4.03,1270.0
The Twenty-Seventh City,Jonathan Franzen,Fiction,3.12,3511.0
"Haussmann, Or the Distinction",Paul LaFarge,Fiction,3.64,150.0
The Journey to the East,Hermann Hesse,Fiction,3.7,7716.0
This Side of Brightness,Colum McCann,Fiction,3.85,2410.0
What Was She Thinking?,Zoë Heller,Fiction,3.71,13150.0
Middlesex,Jeffrey Eugenides,Fiction,3.99,526111.0
The Interpreter,Suki Kim,Fiction,3.55,917.0
Hand to Mouth,Paul Auster,Biography & Autobiography,3.62,1552.0
A Feather on the Breath of God,Sigrid Nunez,Fiction,3.87,447.0
Galatea 2.2,Richard Powers,Fiction,3.72,2063.0
Mason & Dixon,Thomas Pynchon,Fiction,4.06,7756.0
The River at the Center of the World,Simon Winchester,Travel,3.92,1359.0
Primo Levi,Ian Thomson,Biography & Autobiography,4.14,103.0
Dry,Augusten Burroughs,Biography & Autobiography,4.02,75017.0
A Home at the End of the World,Michael Cunningham,Fiction,3.9,14277.0
Call It Sleep,Henry Roth,Fiction,3.83,292.0
I Am Charlotte Simmons,Tom Wolfe,Fiction,3.41,20508.0
Small Island,Andrea Levy,Fiction,3.93,20087.0
