title,authors,categories,average_rating,ratings_count,combined_features
Appointment with Death,Agatha Christie,Detective and mystery stories,3.86,24859.0,Appointment with Death Agatha Christie Detective and mystery stories
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",3.66,18820.0,"Hallowe'en Party Agatha Christie Poirot, Hercule (Fictitious character)"
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,3.93,23113.0,Hercule Poirot's Christmas Agatha Christie Christmas stories
The Big Four,Agatha Christie,Detective and mystery stories,3.59,22155.0,The Big Four Agatha Christie Detective and mystery stories
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",3.89,12840.0,"The Thirteen Problems Agatha Christie Detective and mystery stories, English"
They Do it with Mirrors,Agatha Christie,American fiction,3.75,415.0,They Do it with Mirrors Agatha Christie American fiction
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",3.98,680.0,"A Murder is Announced Agatha Christie Detective and mystery stories, English"
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",3.91,23249.0,"The Mirror Crack'd from Side to Side Agatha Christie Marple, Jane (Fictitious character)"
Mrs McGinty's Dead,Agatha Christie,Belgians,3.83,525.0,Mrs McGinty's Dead Agatha Christie Belgians
Taken at the Flood,Agatha Christie,Fiction,3.71,8852.0,Taken at the Flood Agatha Christie Fiction
The Hollow,Agatha Christie,Detective and mystery stories,3.79,13022.0,The Hollow Agatha Christie Detective and mystery stories
Third Girl,Agatha Christie,Belgians,3.62,13705.0,Third Girl Agatha Christie Belgians
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",3.86,11110.0,"The Secret of Chimneys Agatha Christie Battle, Superintendent (Fictitious character)"
The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",4.49,187.0,"The Lord of the Rings J. R. R. Tolkien Baggins, Frodo (Fictitious character)"
The Metaphysical Club,Louis Menand,Cambridge (Mass.),4.07,3311.0,The Metaphysical Club Louis Menand Cambridge (Mass.)
The illustrated man,Ray Bradbury,Fiction,4.14,56781.0,The illustrated man Ray Bradbury Fiction
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,3.59,69.0,Wilkins' Tooth Diana Wynne Jones Business enterprises
Cut,Patricia McCormick,Emotional problems,3.76,107.0,Cut Patricia McCormick Emotional problems
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",4.35,56.0,"The Fellowship of the Ring John Ronald Reuel Tolkien;Alan Lee Baggins, Frodo (Fictitious character)"
Lirael,Garth Nix,Fantasy fiction,4.3,1339.0,Lirael Garth Nix Fantasy fiction
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",4.08,2964.0,"Tales from the Perilous Realm John Ronald Reuel Tolkien Fairy tales, English"
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,4.06,46.0,Breaking Open the Head Daniel Pinchbeck Hallucinogenic drugs
The Yiddish Policemen's Union,Michael Chabon,Fiction,3.7,51219.0,The Yiddish Policemen's Union Michael Chabon Fiction
"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,3.88,78.0,"Beware, Princess Elizabeth Carolyn Meyer Children's stories"
The Family Way,Tony Parsons,Parenthood,3.51,2095.0,The Family Way Tony Parsons Parenthood
Endless Night,Agatha Christie,FICTION,3.77,12740.0,Endless Night Agatha Christie FICTION
How to be Alone,Jonathan Franzen,Literary Collections,3.6,327.0,How to be Alone Jonathan Franzen Literary Collections
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,3.72,7514.0,The Mysterious Mr. Quin Agatha Christie Detective and mystery stories
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,3.55,178.0,The Listerdale Mystery Agatha Christie Detective and mystery stories
The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,4.04,183.0,The Real Trial of Oscar Wilde Merlin Holland Biography & Autobiography
I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",4.2,16561.0,"I Can Read with Me Eyes Shut! Dr. Seuss Authors, American"
"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,4.35,926.0,"Oh, the Places You'll Go! Dr. Seuss Adventure stories"
If I Die in a Combat Zone,Tim O'Brien,"Vietnam War, 1961-1975",3.95,11.0,"If I Die in a Combat Zone Tim O'Brien Vietnam War, 1961-1975"
The Return of the King,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",4.52,253.0,"The Return of the King J. R. R. Tolkien Baggins, Frodo (Fictitious character)"
The Silmarillion,John Ronald Reuel Tolkien;Ted Nasmith,Fiction,3.91,49.0,The Silmarillion John Ronald Reuel Tolkien;Ted Nasmith Fiction
I Wish that I Had Duck Feet,Dr. Seuss;Barney Tobey,Children's stories,4.16,8903.0,I Wish that I Had Duck Feet Dr. Seuss;Barney Tobey Children's stories
Oh Say Can You Say?,Dr. Seuss,Children's stories,4.01,5726.0,Oh Say Can You Say? Dr. Seuss Children's stories
There's a Boy in the Girls' Bathroom,Louis Sachar,Boys,3.98,174.0,There's a Boy in the Girls' Bathroom Louis Sachar Boys
Microserfs,Douglas Coupland,Computer programmers,3.88,436.0,Microserfs Douglas Coupland Computer programmers
Miss Wyoming,Douglas Coupland,Actors,3.48,110.0,Miss Wyoming Douglas Coupland Actors
Where Rainbows End,Cecelia Ahern,Friendship,3.94,642.0,Where Rainbows End Cecelia Ahern Friendship
Poirot,Agatha Christie,Authors,4.2,83.0,Poirot Agatha Christie Authors
The Art of The Lord of the Rings,Gary Russell,Costume,4.52,12.0,The Art of The Lord of the Rings Gary Russell Costume
The Known World,Edward P. Jones,African American plantation owners,3.83,437.0,The Known World Edward P. Jones African American plantation owners
Discover Your Destiny with the Monk Who Sold His Ferrari,Robin Sharma,Conduct of life,3.9,1956.0,Discover Your Destiny with the Monk Who Sold His Ferrari Robin Sharma Conduct of life
Naked Lunch,William S. Burroughs,Alienation (Social psychology),3.44,478.0,Naked Lunch William S. Burroughs Alienation (Social psychology)
Tropic of Cancer,Henry Miller,Fiction,3.69,709.0,Tropic of Cancer Henry Miller Fiction
Close Range,Annie Proulx,Cowboys,3.99,466.0,Close Range Annie Proulx Cowboys
The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,3.65,6836.0,The Love of the Last Tycoon F. Scott Fitzgerald Fiction
The Song of Rhiannon,Evangeline Walton,Fiction,4.02,247.0,The Song of Rhiannon Evangeline Walton Fiction
Heart Songs and Other Stories,Annie Proulx,Fiction,3.93,1822.0,Heart Songs and Other Stories Annie Proulx Fiction
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,4.09,2869.0,The voyage of the Dawn Treader Clive Staples Lewis Juvenile Fiction
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,4.26,1446.0,"The Chronicles of Narnia: Lion, the witch and the wardrobe Clive Staples Lewis Fairy tales"
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,4.26,106.0,The Short Stories of Ernest Hemingway Ernest Hemingway Fiction
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,4.22,313.0,"The Screwtape Letters ; With, Screwtape Proposes a Toast Clive Staples Lewis Christianity"
Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,3.64,430.0,Reason in History Georg Wilhelm Friedrich Hegel Philosophy
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,4.2,204.0,The Elements of Style William Strunk;Elwyn Brooks White Language Arts & Disciplines
The Presocratics,Philip Wheelwright,Philosophy,4.04,199.0,The Presocratics Philip Wheelwright Philosophy
Spandau,Albert Speer,History,4.12,6.0,Spandau Albert Speer History
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",4.17,24.0,"The Rumble Seat Pony Clarence William Anderson Animals, Treatment of"
The Journey with Grandmother,Edith Unnerstad,Grandmothers,3.75,3.0,The Journey with Grandmother Edith Unnerstad Grandmothers
Tyranny of the Majority,Lani Guinier,History,3.82,39.0,Tyranny of the Majority Lani Guinier History
The Origins of the Civil Rights Movement,Aldon D. Morris,History,4.04,145.0,The Origins of the Civil Rights Movement Aldon D. Morris History
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,3.79,277.0,Presidential Power and the Modern Presidents Richard E. Neustadt History
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,4.01,88.0,"Rest, Rabbit, Rest Jacquelyn Reinach;Richard Hefter Juvenile Fiction"
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,4.37,95.0,Where the Red Fern Grows Wilson Rawls Juvenile Fiction
Poppy's Return,Avi,Juvenile Fiction,3.99,1086.0,Poppy's Return Avi Juvenile Fiction
Diary of a Spider,Doreen Cronin,Juvenile Fiction,4.25,7903.0,Diary of a Spider Doreen Cronin Juvenile Fiction
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,3.7,599.0,An Old-Fashioned Thanksgiving Louisa May Alcott;James Bernardin Juvenile Fiction
The Paradox of Choice,Barry Schwartz,Business & Economics,3.84,23734.0,The Paradox of Choice Barry Schwartz Business & Economics
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,3.65,14917.0,How to Read Literature Like a Professor Thomas C. Foster Literary Criticism
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,4.05,27463.0,The Amazing Maurice and His Educated Rodents Terry Pratchett Juvenile Fiction
