title,authors,categories,average_rating,ratings_count,combined_features
Gilead,Marilynne Robinson,Fiction,3.85,361.0,Gilead Marilynne Robinson Fiction
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,3.83,5164.0,Spider's Web Charles Osborne;Agatha Christie Detective and mystery stories
The One Tree,Stephen R. Donaldson,American fiction,3.97,172.0,The One Tree Stephen R. Donaldson American fiction
Rage of angels,Sidney Sheldon,Fiction,3.93,29532.0,Rage of angels Sidney Sheldon Fiction
The Four Loves,Clive Staples Lewis,Christian life,4.15,33684.0,The Four Loves Clive Staples Lewis Christian life
The Problem of Pain,Clive Staples Lewis,Christian life,4.09,37569.0,The Problem of Pain Clive Staples Lewis Christian life
An Autobiography,Agatha Christie,"Authors, English",4.27,3975.0,"An Autobiography Agatha Christie Authors, English"
Empires of the Monsoon,Richard Hall,"Africa, East",4.41,65.0,"Empires of the Monsoon Richard Hall Africa, East"
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",4.15,103.0,"The Gap Into Madness Stephen R. Donaldson Hyland, Morn (Fictitious character)"
Master of the Game,Sidney Sheldon,Adventure stories,4.11,43540.0,Master of the Game Sidney Sheldon Adventure stories
If Tomorrow Comes,Sidney Sheldon,Adventure stories,4.04,49170.0,If Tomorrow Comes Sidney Sheldon Adventure stories
Assassin's Apprentice,Robin Hobb,American fiction,4.15,133972.0,Assassin's Apprentice Robin Hobb American fiction
Warhost of Vastmark,Janny Wurts,Fiction,4.03,2966.0,Warhost of Vastmark Janny Wurts Fiction
The Once and Future King,Terence Hanbury White,Arthurian romances,4.04,2805.0,The Once and Future King Terence Hanbury White Arthurian romances
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,3.7,5083.0,Murder in LaMut Raymond E. Feist;Joel Rosenberg Adventure stories
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,3.95,5579.0,Jimmy the Hand Raymond E. Feist;S. M. Stirling Fantasy fiction
Well of Darkness,Margaret Weis;Tracy Hickman,Fantasy,3.66,68.0,Well of Darkness Margaret Weis;Tracy Hickman Fantasy
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,4.05,3908.0,Witness for the Prosecution & Selected Plays Agatha Christie English drama
The Little House,Philippa Gregory,Country life,3.66,1832.0,The Little House Philippa Gregory Country life
Mystical Paths,Susan Howatch,English fiction,4.23,1023.0,Mystical Paths Susan Howatch English fiction
Glittering Images,Susan Howatch,English fiction,4.07,2045.0,Glittering Images Susan Howatch English fiction
Glamorous Powers,Susan Howatch,Clergy,4.2,1441.0,Glamorous Powers Susan Howatch Clergy
The Mad Ship,Robin Hobb,Fantasy fiction,4.24,36101.0,The Mad Ship Robin Hobb Fantasy fiction
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",4.29,7815.0,"Post Captain Patrick O'Brian Aubrey, Jack (Fictitious character)"
The Reverse of the Medal,Patrick O'Brian,Adventure stories,4.41,177.0,The Reverse of the Medal Patrick O'Brian Adventure stories
Miss Marple,Agatha Christie,"Detective and mystery stories, English",4.2,6235.0,"Miss Marple Agatha Christie Detective and mystery stories, English"
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,3.73,194.0,The Years of Rice and Salt Kim Stanley Robinson Black Death
Spares,Michael Marshall Smith,Human cloning,4.13,2481.0,Spares Michael Marshall Smith Human cloning
Gravity,Tess Gerritsen,Science fiction,4.04,8024.0,Gravity Tess Gerritsen Science fiction
The Wise Woman,Philippa Gregory,Great Britain,3.31,6583.0,The Wise Woman Philippa Gregory Great Britain
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,3.26,140.0,Girls' Night in Jessica Adams;Chris Manby;Fiona Walker American fiction
The White Album,Joan Didion,American essays,4.17,91.0,The White Album Joan Didion American essays
The Bonesetter's Daughter,Amy Tan,China,3.98,414.0,The Bonesetter's Daughter Amy Tan China
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,3.59,87.0,The Lexus and the Olive Tree Thomas L. Friedman Capitalism
'Tis,Frank McCourt,Ireland,3.68,44179.0,'Tis Frank McCourt Ireland
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,3.5,1.0,Ocean Star Express Mark Haddon;Peter Sutton Juvenile Fiction
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",4.27,116.0,"A Small Pinch of Weather Joan Aiken Children's stories, English"
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,4.1,446.0,The Princess of the Chalet School Elinor Mary Brent-Dyer Juvenile Fiction
Koko,Peter Straub,Male friendship,3.56,7586.0,Koko Peter Straub Male friendship
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,4.09,2245.0,Tree and Leaf John Ronald Reuel Tolkien Literary Collections
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",3.77,9506.0,"Partners in Crime Agatha Christie Beresford, Tommy (Fictitious character)"
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,3.89,25692.0,Murder in Mesopotamia Agatha Christie Detective and mystery stories
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,4.59,22.0,"The Lord of the Rings, the Return of the King Jude Fisher Imaginary wars and battles"
All Families are Psychotic,Douglas Coupland,Dysfunctional families,3.69,350.0,All Families are Psychotic Douglas Coupland Dysfunctional families
Death in the Clouds,Agatha Christie,Detective and mystery stories,3.8,21123.0,Death in the Clouds Agatha Christie Detective and mystery stories
